Time,Temp 0,Temp 1
444,23.875,23.562
446,23.875,23.562
448,23.875,23.562
450,23.875,23.625
452,23.75,23.625
454,23.875,23.562
456,23.812,23.5
458,23.937,23.625
460,23.875,23.562
462,23.875,23.625
464,23.875,23.562
466,23.875,23.562
468,23.875,23.625
470,23.875,23.625
472,23.875,23.625
474,23.875,23.562
476,23.875,23.625
478,23.875,23.562
480,23.875,23.625
482,23.812,23.562
484,23.812,23.625
486,23.875,23.625
488,23.812,23.625
490,23.875,23.625
492,23.875,23.625
494,23.875,23.625
496,23.812,23.562
498,23.812,23.625
500,23.812,23.625
502,23.812,23.625
504,23.812,23.625
506,23.812,23.625
508,23.875,23.625
510,23.812,23.625
512,23.875,23.625
514,23.875,23.625
516,23.812,23.625
518,23.812,23.625
520,23.812,23.625
522,23.812,23.687
524,23.812,23.687
526,23.812,23.687
528,23.875,23.625
530,23.875,23.625
532,23.875,23.625
534,23.875,23.687
536,23.875,23.625
538,23.875,23.625
540,23.812,23.625
542,23.812,23.625
544,23.875,23.625
546,23.812,23.625
548,23.875,23.625
550,23.875,23.625
552,23.812,23.625
554,23.875,23.687
556,23.812,23.687
558,23.812,23.687
560,23.812,23.687
562,23.812,23.687
564,23.625,23.687
566,23.875,23.625
568,23.875,23.625
570,23.812,23.625
572,23.875,23.687
574,23.812,23.687
576,23.812,23.687
578,23.75,23.687
580,23.812,23.687
582,23.812,23.625
584,23.812,23.687
586,23.812,23.687
588,23.812,23.75
590,23.812,23.687
592,23.812,23.687
594,23.812,23.687
596,23.812,23.687
598,23.812,23.687
600,23.812,23.687
602,23.812,23.687
604,23.812,23.687
606,23.875,23.687
608,23.812,23.687
610,23.812,23.687
612,23.812,23.687
614,23.812,23.687
616,23.812,23.687
618,23.812,23.687
620,23.812,23.75
622,23.812,23.687
624,23.812,23.687
626,23.812,23.687
628,23.812,23.75
630,23.812,23.75
632,23.812,23.75
634,23.812,23.75
636,23.75,23.687
638,23.812,23.687
640,23.812,23.75
642,23.812,23.75
644,23.812,23.75
646,23.812,23.75
648,23.812,23.75
650,23.812,23.687
652,23.812,23.75
654,23.75,23.75
656,23.812,23.75
658,23.75,23.75
660,23.812,23.75
662,23.812,23.75
664,23.812,23.75
666,23.812,23.75
668,23.75,23.75
670,23.75,23.75
672,23.812,23.75
674,23.812,23.75
676,23.812,23.75
678,23.75,23.75
680,23.75,23.75
682,23.75,23.75
684,23.812,23.687
686,23.812,23.75
688,23.75,23.75
690,23.75,23.75
692,23.75,23.687
694,23.75,23.75
696,23.75,23.75
698,23.812,23.75
700,23.812,23.75
702,23.75,23.75
704,23.75,23.75
706,23.75,23.75
708,23.75,23.75
710,23.75,23.75
712,23.75,23.75
714,23.75,23.75
716,23.75,23.75
718,23.75,23.75
720,23.75,23.75
722,23.75,23.75
724,23.75,23.812
726,23.75,23.75
728,23.75,23.812
730,23.75,23.75
732,23.75,23.75
734,23.75,23.812
736,23.75,23.75
738,23.75,23.812
740,23.687,23.75
742,23.812,23.75
744,23.75,23.812
746,23.75,23.75
748,23.75,23.75
750,23.75,23.75
752,23.75,23.812
754,23.812,23.812
756,23.75,23.812
758,23.75,23.812
760,23.75,23.75
762,23.75,23.812
764,23.75,23.75
766,23.812,23.75
768,23.75,23.812
770,23.75,23.812
772,23.75,23.812
774,23.75,23.812
776,23.75,23.75
778,23.75,23.812
780,23.75,23.812
782,23.75,23.812
784,23.75,23.75
786,23.687,23.812
788,23.75,23.812
790,23.75,23.812
792,23.75,23.812
794,23.75,23.812
