Time,Temp 0,Temp 1
0,23.0,22.937
2,23.062,22.937
4,23.062,22.937
6,23.062,23.0
8,23.062,22.937
10,23.125,23.0
12,23.125,23.0
14,23.062,23.0
16,23.125,23.0
18,23.125,23.0
20,23.125,23.0
22,23.125,23.0
24,23.125,23.0
26,23.125,22.937
28,23.125,23.0
30,23.125,23.0
32,23.125,23.0
34,23.125,23.0
36,23.125,23.0
38,23.187,23.0
40,23.125,23.0
42,23.187,23.0
44,23.187,23.0
46,23.187,23.0
48,23.187,23.0
50,23.187,23.062
52,23.187,23.0
54,23.187,23.0
56,23.187,23.062
58,23.187,23.0
60,23.187,23.062
62,23.187,23.062
64,23.25,23.062
66,23.187,23.062
68,23.25,23.062
70,23.25,23.0
72,23.25,23.062
74,23.25,23.062
76,23.25,23.0
78,23.25,23.062
80,23.25,23.062
82,23.25,23.062
84,23.25,23.062
86,23.312,23.062
88,23.25,23.062
90,23.25,23.062
92,23.312,23.062
94,23.25,23.062
96,23.312,23.125
98,23.25,23.125
100,23.25,23.062
102,23.312,23.062
104,23.312,23.0
106,23.312,23.062
108,23.312,23.062
110,23.312,23.062
112,23.375,23.062
114,23.375,23.125
116,23.312,23.062
118,23.312,23.125
120,23.375,23.062
122,23.375,23.125
124,23.375,23.125
126,23.375,23.125
128,23.375,23.125
130,23.375,23.062
132,23.375,23.125
134,23.437,23.125
136,23.375,23.125
138,23.375,23.125
140,23.437,23.187
142,23.375,23.125
144,23.437,23.125
146,23.437,23.187
148,23.437,23.125
150,23.437,23.187
152,23.437,23.125
154,23.437,23.187
156,23.437,23.125
158,23.437,23.125
160,23.437,23.125
162,23.437,23.187
164,23.437,23.187
166,23.437,23.187
168,23.437,23.187
170,23.437,23.187
172,23.5,23.187
174,23.437,23.187
176,23.5,23.187
178,23.437,23.187
180,23.437,23.187
182,23.5,23.187
184,23.5,23.187
186,23.5,23.187
188,23.375,23.187
190,23.5,23.187
192,23.562,23.187
194,23.5,23.187
196,23.5,23.187
198,23.5,23.187
200,23.5,23.25
202,23.562,23.187
204,23.5,23.187
206,23.5,23.187
208,23.5,23.25
210,23.5,23.25
212,23.562,23.187
214,23.562,23.25
216,23.5,23.25
218,23.562,23.25
220,23.5,23.25
222,23.562,23.25
224,23.5,23.187
226,23.5,23.25
228,23.5,23.25
230,23.5,23.187
232,23.5,23.25
234,23.5,23.25
236,23.5,23.25
238,23.5,23.25
240,23.562,23.25
242,23.562,23.25
244,23.562,23.25
246,23.562,23.25
248,23.562,23.25
250,23.562,23.25
252,23.562,23.25
254,23.562,23.25
256,23.562,23.25
258,23.562,23.312
260,23.625,23.25
262,23.625,23.25
264,23.625,23.25
266,23.562,23.312
268,23.625,23.312
270,23.625,23.312
272,23.625,23.312
274,23.562,23.312
276,23.625,23.312
278,23.625,23.312
280,23.625,23.312
282,23.625,23.312
284,23.625,23.312
286,23.625,23.312
288,23.625,23.312
290,23.625,23.312
292,23.625,23.312
294,23.625,23.312
296,23.625,23.312
298,23.687,23.312
300,23.625,23.312
302,23.625,23.312
304,23.625,23.312
306,23.625,23.312
308,23.625,23.375
310,23.625,23.312
312,23.687,23.312
314,23.625,23.312
316,23.625,23.312
318,23.687,23.312
320,23.687,23.312
322,23.687,23.375
324,23.625,23.375
326,23.687,23.375
328,23.687,23.375
330,23.625,23.312
332,23.687,23.312
334,23.687,23.375
336,23.687,23.375
338,23.687,23.375
340,23.687,23.375
342,23.625,23.375
344,23.687,23.375
346,23.687,23.375
348,23.687,23.375
350,23.687,23.375
352,23.687,23.375
354,23.687,23.375
356,23.687,23.312
358,23.687,23.375
360,23.687,23.437
362,23.687,23.375
364,23.687,23.375
366,23.687,23.375
368,23.687,23.375
370,23.687,23.375
372,23.687,23.437
374,23.687,23.375
376,23.687,23.375
378,23.687,23.375
380,23.687,23.375
382,23.687,23.375
384,23.687,23.437
386,23.687,23.437
388,23.687,23.437
390,23.687,23.437
392,23.687,23.437
394,23.687,23.437
396,23.687,23.437
398,23.75,23.437
400,23.687,23.437
402,23.687,23.437
404,23.75,23.437
406,23.75,23.437
408,23.75,23.437
410,23.75,23.437
412,23.75,23.437
414,23.75,23.437
416,23.75,23.437
418,23.75,23.437
420,23.75,23.5
422,23.75,23.5
424,23.75,23.5
426,23.75,23.5
428,23.687,23.437
430,23.75,23.5
432,23.75,23.437
434,23.75,23.437
436,23.75,23.437
438,23.75,23.437
440,23.75,23.5
442,23.75,23.5
444,23.75,23.5
446,23.75,23.375
448,23.75,23.437
450,23.75,23.5
452,23.75,23.5
454,23.75,23.5
456,23.75,23.5
458,23.75,23.5
460,23.75,23.5
462,23.75,23.5
464,23.75,23.5
466,23.812,23.5
468,23.812,23.5
470,23.812,23.562
472,23.75,23.5
474,23.75,23.5
476,23.75,23.562
478,23.75,23.562
480,23.75,23.562
482,23.75,23.562
484,23.75,23.562
486,23.75,23.562
488,23.75,23.5
490,23.75,23.5
492,23.75,23.5
494,23.812,23.5
496,23.75,23.5
498,23.75,23.562
500,23.75,23.562
502,23.75,23.562
504,23.75,23.562
506,23.75,23.562
508,23.75,23.562
510,23.75,23.562
512,23.75,23.562
514,23.75,23.625
516,23.75,23.625
518,23.75,23.625
520,23.75,23.562
522,23.812,23.625
524,23.812,23.625
526,23.75,23.625
528,23.812,23.625
530,23.75,23.625
532,23.75,23.625
534,23.75,23.625
536,23.75,23.625
538,23.812,23.625
540,23.812,23.625
542,23.812,23.625
544,23.75,23.625
546,23.812,23.625
548,23.75,23.625
550,23.812,23.625
552,23.75,23.687
554,23.75,23.687
556,23.812,23.625
558,23.812,23.625
560,23.812,23.687
562,23.812,23.625
