Time,Temp 0,Temp 1,Temp 2,Temp 3
0,23.187,23.75,23.687,23.187
4,23.187,23.75,23.687,23.187
8,23.187,23.75,23.625,23.187
12,23.187,24.75,23.687,23.187
16,23.187,26.75,23.625,23.187
20,23.187,28.25,23.625,23.187
24,23.187,29.375,23.625,23.187
28,23.187,30.25,23.625,23.187
32,23.125,30.875,23.687,23.187
36,23.187,31.437,23.625,23.187
40,23.187,31.937,23.625,23.187
44,23.187,32.25,23.687,23.187
48,23.187,32.562,23.625,23.187
52,23.187,32.875,23.625,23.187
56,23.187,33.062,23.625,23.187
60,23.187,33.312,23.625,23.187
64,23.187,33.562,23.625,23.187
68,23.187,33.687,23.625,23.187
72,23.187,33.875,23.625,23.187
76,23.187,34.0,23.625,23.187
80,23.187,34.125,23.625,23.25
84,23.187,34.25,23.687,23.25
88,23.187,34.375,23.625,23.187
92,23.187,34.437,23.625,23.187
96,23.187,34.562,23.625,23.187
100,23.187,34.625,23.687,23.187
104,23.187,34.5,23.687,23.187
108,23.187,34.187,23.625,23.187
112,23.187,33.812,23.625,23.187
116,23.187,33.437,23.687,23.187
120,23.187,33.25,23.687,23.187
124,23.187,33.125,23.625,23.187
128,23.187,32.937,23.625,23.187
132,23.187,32.687,23.625,23.25
136,23.187,32.562,23.687,23.25
140,23.187,32.5,23.687,23.25
144,23.187,32.5,23.625,23.25
148,23.187,32.312,23.687,23.25
152,23.187,32.125,23.625,23.25
156,23.187,31.937,23.625,23.25
160,23.25,31.812,23.625,23.25
164,23.25,31.687,23.625,23.25
168,23.187,31.5,23.625,23.25
172,23.187,31.312,23.625,23.25
176,23.187,31.187,23.625,23.25
180,23.25,31.062,23.625,23.25
184,23.25,30.937,23.625,23.187
188,23.187,30.812,23.625,23.187
192,23.187,30.687,23.625,23.25
196,23.25,30.625,23.687,23.25
200,23.187,30.5,23.625,23.25
204,23.187,30.437,23.625,23.25
208,23.25,30.375,23.625,23.25
212,23.187,30.312,23.625,23.25
216,23.187,30.187,23.562,23.25
220,23.187,30.125,23.625,23.25
224,23.25,30.0,23.625,23.25
228,23.25,29.937,23.625,23.25
232,23.187,29.875,23.562,23.187
236,23.25,29.812,23.625,23.25
240,23.187,29.687,23.625,23.187
244,23.187,29.562,23.625,23.25
248,23.25,29.5,23.625,23.25
252,23.25,29.437,23.625,23.25
256,23.187,29.312,23.625,23.25
260,23.25,29.312,23.625,23.25
264,23.25,29.187,23.625,23.25
268,23.25,29.125,23.625,23.25
272,23.25,29.062,23.625,23.25
276,23.187,28.937,23.625,23.25
280,23.187,28.875,23.687,23.25
284,23.187,28.812,23.562,23.25
288,23.25,28.75,23.625,23.25
292,23.25,28.687,23.625,23.25
296,23.25,28.562,23.625,23.25
300,23.25,28.562,23.625,23.25
304,23.25,28.437,23.625,23.25
308,23.25,28.312,23.625,23.25
312,23.25,28.187,23.625,23.25
316,23.25,28.0,23.625,23.25
320,23.25,27.75,23.625,23.25
324,23.25,27.562,23.687,23.25
328,23.25,27.375,23.625,23.25
332,23.25,27.187,23.625,23.25
336,23.25,27.062,23.625,23.25
340,23.25,26.937,23.625,23.25
344,23.25,26.875,23.687,23.25
348,23.25,26.875,23.625,23.25
352,23.25,26.812,23.687,23.25
356,23.25,26.75,23.625,23.25
360,23.25,26.75,23.625,23.25
364,23.25,26.687,23.625,23.312
368,23.25,26.687,23.625,23.25
372,23.25,26.625,23.687,23.25
376,23.25,26.625,23.625,23.25
380,23.25,26.562,23.687,23.25
384,23.25,26.562,23.687,23.25
388,23.25,26.562,23.687,23.25
392,23.25,26.5,23.687,23.312
396,23.25,26.437,23.687,23.312
400,23.25,26.375,23.625,23.25
404,23.25,26.437,23.625,23.25
408,23.25,26.437,23.687,23.25
412,23.25,26.312,23.687,23.312
416,23.25,26.312,23.687,23.25
420,23.25,26.25,23.687,23.312
424,23.25,26.25,23.687,23.312
428,23.25,26.187,23.687,23.312
432,23.25,26.187,23.687,23.312
436,23.25,26.187,23.687,23.312
440,23.25,26.125,23.687,23.312
444,23.25,26.125,23.687,23.25
448,23.25,26.062,23.687,23.312
452,23.25,26.0,23.687,23.312
456,23.25,26.0,23.687,23.312
460,23.25,26.0,23.687,23.312
464,23.25,25.937,23.687,23.312
468,23.25,25.937,23.687,23.312
472,23.25,25.875,23.687,23.312
476,23.25,25.875,23.687,23.312
480,23.25,25.875,23.75,23.312
484,23.25,25.875,23.687,23.312
488,23.25,25.812,23.687,23.312
492,23.25,25.812,23.687,23.312
496,23.25,25.75,23.75,23.312
500,23.25,25.687,23.687,23.312
504,23.25,25.687,23.687,23.312
508,23.25,25.687,23.687,23.312
512,23.25,25.625,23.687,23.312
516,23.25,25.625,23.687,23.312
520,23.312,25.625,23.687,23.312
524,23.25,25.625,23.687,23.312
528,23.25,25.562,23.687,23.312
532,23.312,25.562,23.687,23.312
536,23.25,25.562,23.687,23.312
540,23.25,25.5,23.625,23.25
544,23.25,25.5,23.687,23.312
548,23.25,25.437,23.625,23.25
552,23.25,25.437,23.625,23.312
556,23.25,25.375,23.625,23.25
560,23.25,25.375,23.687,23.25
564,23.25,25.375,23.625,23.312
568,23.25,25.375,23.625,23.312
572,23.25,25.312,23.625,23.25
576,23.25,25.312,23.625,23.25
580,23.25,25.312,23.625,23.25
584,23.25,25.312,23.625,23.25
588,23.25,25.25,23.562,23.25
592,23.25,25.25,23.625,23.312
