Time,Temp 0,Temp 1
0,23.812,23.5
2,23.812,23.5
4,23.812,23.5
6,23.875,23.5
8,23.875,23.5
10,23.875,23.562
12,23.875,23.5
14,23.875,23.562
16,23.875,23.562
18,23.812,23.562
20,23.875,23.5
22,23.875,23.562
24,23.875,23.562
26,23.875,23.562
28,23.875,23.562
30,23.937,23.562
32,23.937,23.562
34,23.875,23.562
36,23.875,23.562
38,23.875,23.562
40,23.875,23.562
42,23.875,23.562
44,23.937,23.562
46,23.937,23.5
48,23.937,23.5
50,23.937,23.562
52,23.937,23.562
54,23.937,23.562
56,23.937,23.562
58,23.937,23.562
60,23.937,23.562
62,23.937,23.5
64,23.937,23.562
66,23.937,23.562
68,23.937,23.562
70,23.937,23.625
72,24.0,23.562
74,23.937,23.625
76,23.937,23.625
78,23.937,23.625
80,24.0,23.562
82,23.937,23.562
84,24.0,23.562
86,24.0,23.562
88,24.0,23.625
90,24.0,23.562
92,23.937,23.625
94,24.0,23.562
96,24.0,23.625
98,24.0,23.625
100,24.0,23.625
102,24.0,23.625
104,24.0,23.562
106,24.0,23.625
108,24.0,23.625
110,24.0,23.625
112,24.0,23.625
114,24.0,23.562
116,24.062,23.625
118,24.062,23.625
120,24.0,23.625
122,24.062,23.625
124,24.062,23.625
126,24.062,23.625
128,24.062,23.625
130,24.062,23.625
132,24.062,23.625
134,24.062,23.625
136,24.062,23.625
138,24.062,23.625
140,24.062,23.625
142,24.062,23.625
144,24.062,23.687
146,24.062,23.625
148,24.062,23.625
150,24.062,23.625
152,24.062,23.625
154,24.062,23.625
156,24.062,23.625
158,24.062,23.687
160,24.062,23.625
162,24.062,23.625
164,24.062,23.625
166,24.125,23.625
168,24.125,23.687
170,24.125,23.625
172,24.125,23.625
174,24.125,23.625
176,24.125,23.625
178,24.125,23.687
180,24.125,23.625
182,24.125,23.625
184,24.125,23.625
186,24.125,23.687
188,24.125,23.625
190,24.125,23.687
192,24.125,23.625
194,24.125,23.625
196,24.125,23.625
198,24.187,23.687
200,24.125,23.625
202,24.125,23.687
204,24.125,23.625
206,24.125,23.687
208,24.187,23.625
210,24.187,23.625
212,24.187,23.625
214,24.187,23.625
216,24.187,23.625
218,24.187,23.625
220,24.187,23.625
222,24.187,23.687
224,24.125,23.687
226,24.187,23.625
228,24.187,23.625
230,24.125,23.625
232,24.187,23.625
234,24.187,23.687
236,24.187,23.625
238,24.125,23.687
240,24.187,23.687
242,24.187,23.625
244,24.187,23.687
246,24.187,23.687
248,24.187,23.625
250,24.187,23.687
252,24.187,23.687
254,24.187,23.687
256,24.187,23.687
258,24.187,23.625
260,24.187,23.687
262,24.187,23.625
264,24.187,23.687
266,24.187,23.625
268,24.187,23.687
270,24.187,23.687
272,24.187,23.625
274,24.187,23.687
276,24.187,23.687
278,24.187,23.687
280,24.187,23.687
282,24.25,23.687
284,24.187,23.687
286,24.25,23.687
288,24.25,23.687
290,24.25,23.687
292,24.187,23.687
294,24.25,23.687
296,24.25,23.687
298,24.25,23.687
300,24.25,23.687
302,24.25,23.687
304,24.187,23.687
306,24.25,23.687
308,24.25,23.687
310,24.25,23.687
312,24.25,23.75
314,24.25,23.687
316,24.25,23.75
318,24.25,23.687
320,24.187,23.75
322,24.25,23.687
324,24.187,23.687
326,24.187,23.687
328,24.25,23.75
330,24.25,23.687
332,24.25,23.687
334,24.25,23.687
336,24.25,23.687
338,24.25,23.687
340,24.25,23.687
342,24.25,23.687
344,24.25,23.687
346,24.25,23.687
348,24.25,23.75
350,24.25,23.75
352,24.25,23.687
354,24.25,23.687
356,24.25,23.687
358,24.25,23.75
360,24.312,23.75
362,24.25,23.75
364,24.25,23.75
366,24.25,23.75
368,24.25,23.687
