Time,Temp 0,Temp 1
0,21.312,21.812
2,21.312,21.812
4,21.312,21.812
6,21.312,21.75
8,21.312,21.812
10,21.375,21.812
12,21.312,21.812
14,21.312,21.812
16,21.375,21.875
17,21.312,21.812
19,21.312,21.812
21,21.312,21.812
24,21.312,21.812
26,21.312,21.812
28,21.312,21.812
30,21.375,21.812
32,21.312,21.75
34,21.312,21.812
36,21.375,21.812
38,21.375,21.812
40,21.375,21.812
42,21.375,21.812
44,21.312,21.812
46,21.312,21.812
48,21.375,21.812
50,21.375,21.812
52,21.312,21.812
54,21.312,21.812
56,21.375,21.812
58,21.312,21.812
60,21.375,21.812
62,21.375,21.812
64,21.312,21.812
66,21.375,21.812
68,21.312,21.812
70,21.375,21.812
72,21.312,21.812
74,21.375,21.812
75,21.375,21.812
77,21.312,21.812
79,21.312,21.812
81,21.375,21.812
84,21.375,21.812
86,21.375,21.812
88,21.375,21.812
90,21.375,21.812
91,21.312,21.812
93,21.375,21.812
94,21.812,22.125
96,21.812,22.125
98,21.812,22.125
99,21.812,22.125
101,21.812,22.125
103,21.75,22.125
105,21.812,22.125
108,21.812,22.125
112,21.75,22.125
113,21.75,22.125
115,21.75,22.062
117,21.75,22.125
118,21.812,22.062
120,21.812,22.125
122,21.812,22.125
124,21.812,22.125
127,21.812,22.125
128,21.812,22.125
130,21.75,22.125
132,21.75,22.125
133,21.812,22.125
135,21.812,22.125
136,21.812,22.062
138,21.812,22.125
140,21.812,22.125
142,21.75,22.125
143,21.812,22.125
145,21.75,22.125
147,21.75,22.125
148,21.75,22.125
150,21.812,22.125
152,21.812,22.125
154,21.812,22.125
156,21.812,22.125
158,21.812,22.062
159,21.812,22.125
161,21.812,22.125
163,21.75,22.125
165,21.812,22.125
166,21.812,22.125
168,21.812,22.125
170,21.812,22.125
172,21.812,22.125
173,21.812,22.125
175,21.812,22.125
176,21.75,22.125
178,21.75,22.125
179,21.75,22.125
180,21.75,22.125
181,21.75,22.125
182,21.75,22.125
183,21.75,22.062
185,21.75,22.125
187,21.75,22.062
188,21.75,22.062
190,21.812,22.062
192,21.75,22.125
194,21.75,22.125
197,21.75,22.125
198,21.812,22.062
200,21.812,22.125
201,21.812,22.125
203,21.75,22.125
204,21.687,22.125
206,21.687,22.125
208,21.75,22.125
210,21.687,22.062
212,21.75,22.125
215,21.75,22.125
217,21.75,22.062
218,21.75,22.125
220,21.75,22.062
222,21.75,22.125
224,21.687,22.125
226,21.687,22.125
229,21.75,22.125
