Time,Temp 0,Temp 1
0,23.625,23.687
2,23.687,23.687
4,23.687,23.687
6,23.687,23.687
8,23.75,23.687
10,23.687,23.687
12,23.687,23.687
14,23.687,23.687
16,23.687,23.687
18,23.687,23.75
20,23.75,23.687
22,23.687,23.687
24,23.687,23.687
26,23.75,23.75
28,23.75,23.687
30,23.75,23.75
32,23.75,23.75
34,23.75,23.75
36,23.75,23.75
38,23.75,23.812
40,23.75,23.75
42,23.75,23.75
44,23.75,23.75
46,23.75,23.687
48,23.75,23.75
50,23.75,23.75
52,23.75,23.75
54,23.75,23.812
56,23.75,23.75
58,23.75,23.75
60,23.75,23.75
62,23.812,23.75
64,23.812,23.812
66,23.75,23.75
68,23.75,23.75
70,23.812,23.812
72,23.812,23.75
74,23.812,23.812
76,23.812,23.812
78,23.812,23.812
80,23.812,23.812
82,23.812,23.812
84,23.812,23.812
86,23.812,23.812
88,23.812,23.812
90,23.812,23.812
92,23.812,23.812
94,23.812,23.812
96,23.812,23.812
98,23.875,23.812
100,23.812,23.812
102,23.875,23.812
104,23.875,23.812
106,23.875,23.875
108,23.812,23.812
110,23.875,23.812
112,23.875,23.812
114,23.875,23.812
116,23.875,23.875
118,23.875,23.875
120,23.875,23.875
122,23.875,23.875
124,23.875,23.875
126,23.875,23.875
128,23.875,23.875
130,23.875,23.875
132,23.875,23.875
134,23.875,23.875
136,23.875,23.875
138,23.875,23.875
140,23.875,23.875
142,23.875,23.875
144,23.937,23.875
146,23.875,23.875
148,23.875,23.875
150,23.937,23.875
152,23.875,23.875
154,23.937,23.875
156,23.937,23.875
158,23.937,23.875
160,23.937,23.875
162,23.937,23.875
164,23.937,23.875
166,23.937,23.875
168,23.937,23.875
170,23.937,23.875
172,23.937,23.937
174,23.937,23.937
176,23.937,23.937
178,23.937,23.937
180,23.937,23.875
182,24.0,23.937
184,23.937,23.875
186,23.937,23.937
188,23.937,23.937
190,23.937,23.937
192,24.0,23.875
194,24.0,23.937
196,24.0,23.875
198,24.0,23.937
200,24.0,23.937
202,23.937,23.937
204,24.0,23.937
206,24.0,23.937
208,24.0,23.937
210,24.0,23.937
212,24.062,23.937
214,24.0,23.937
216,24.0,23.937
218,24.062,23.937
220,24.0,24.0
222,24.0,23.937
224,24.062,23.937
226,24.062,23.937
228,24.0,23.937
230,24.062,23.937
232,24.062,23.937
234,24.062,23.937
236,24.062,24.0
238,24.062,23.937
240,24.062,23.937
242,24.062,24.0
244,24.125,23.937
246,24.125,23.937
248,24.125,23.937
250,24.062,24.0
252,24.125,23.937
254,24.125,24.0
256,24.062,24.0
258,24.125,24.0
260,24.125,24.0
262,24.125,24.0
264,24.125,24.0
266,24.125,24.0
268,24.125,24.0
270,24.125,24.0
272,24.125,24.0
274,24.125,24.0
276,24.125,24.0
278,24.125,24.0
280,24.125,24.0
282,24.125,24.0
284,24.125,24.0
286,24.125,24.0
288,24.125,24.0
290,24.125,24.0
292,24.125,24.062
294,24.125,24.062
296,24.187,24.062
298,24.125,24.0
300,24.125,24.062
302,24.125,24.0
304,24.125,24.062
306,24.125,24.062
308,24.125,24.0
310,24.125,24.062
312,24.125,24.062
314,24.125,24.062
316,24.125,24.062
318,24.187,24.062
320,24.187,24.062
322,24.125,24.125
324,24.187,24.062
326,24.187,24.125
328,24.187,24.062
330,24.187,24.062
332,24.125,24.125
334,24.187,24.125
336,24.187,24.062
338,24.187,24.125
340,24.187,24.125
342,24.187,24.125
344,24.312,24.062
346,24.187,24.125
348,24.187,24.125
350,24.187,24.125
352,24.187,24.125
354,24.187,24.125
356,24.187,24.125
358,24.187,24.125
360,24.187,24.125
362,24.25,24.125
364,24.25,24.125
366,24.25,24.125
368,24.25,24.187
370,24.25,24.125
372,24.25,24.125
374,24.25,24.125
376,24.25,24.187
378,24.25,24.125
380,24.25,24.125
382,24.25,24.187
384,24.25,24.187
386,24.25,24.187
388,24.25,24.125
390,24.312,24.125
392,24.312,24.187
394,24.312,24.125
396,24.312,24.187
398,24.312,24.187
400,24.312,24.187
402,24.312,24.187
404,24.312,24.187
406,24.312,24.187
408,24.312,24.187
410,24.312,24.25
412,24.312,24.187
414,24.312,24.187
416,24.312,24.187
418,24.312,24.187
420,24.375,24.187
422,24.312,24.187
424,24.375,24.187
426,24.375,24.187
428,24.375,24.187
430,24.375,24.25
432,24.375,24.25
434,24.375,24.25
436,24.375,24.187
438,24.375,24.25
440,24.375,24.25
442,24.375,24.25
444,24.375,24.25
446,24.375,24.25
448,24.375,24.25
450,24.437,24.25
452,24.375,24.25
454,24.437,24.25
456,24.375,24.25
458,24.312,24.25
460,24.375,24.312
462,24.437,24.25
464,24.375,24.25
466,24.375,24.312
468,24.437,24.312
470,24.437,24.312
472,24.437,24.25
474,24.375,24.25
476,24.437,24.312
478,24.437,24.312
480,24.25,24.312
482,24.437,24.312
484,24.437,24.312
486,24.375,24.312
488,24.437,24.312
490,24.437,24.25
492,24.437,24.312
494,24.437,24.312
496,24.437,24.312
498,24.437,24.312
500,24.437,24.312
502,24.437,24.312
504,24.437,24.312
506,24.375,24.312
