Time,Temp 0,Temp 1
0,23.625,23.75
2,23.687,23.75
4,23.687,23.75
6,23.687,23.75
8,23.687,23.75
10,23.687,23.75
12,23.687,23.812
14,23.687,23.812
16,23.75,23.812
18,23.75,23.75
20,23.75,23.812
22,23.75,23.75
24,23.687,23.812
26,23.75,23.812
28,23.75,23.75
30,23.75,23.812
32,23.75,23.812
34,23.812,23.812
36,23.812,23.812
38,23.75,23.812
40,23.812,23.812
42,23.812,23.812
44,23.812,23.812
46,23.812,23.75
48,23.812,23.812
50,23.812,23.812
52,23.75,23.812
54,23.812,23.875
56,23.812,23.812
58,23.75,23.812
60,23.812,23.812
62,23.812,23.812
64,23.812,23.812
66,23.875,23.875
68,23.875,23.875
70,23.875,23.812
72,23.875,23.875
74,23.875,23.812
76,23.875,23.875
78,23.875,23.875
80,23.875,23.875
82,23.875,23.875
84,23.875,23.875
86,23.875,23.875
88,23.875,23.875
90,23.875,23.875
92,23.875,23.875
94,23.875,23.875
96,23.875,23.875
98,23.875,23.875
100,23.875,23.875
102,23.875,23.875
104,23.875,23.875
106,23.937,23.875
108,23.875,23.875
110,23.937,23.875
112,23.937,23.875
114,23.937,23.875
116,23.937,23.875
118,23.937,23.937
120,23.937,23.875
122,23.937,23.875
124,23.937,23.937
126,23.937,23.937
128,23.937,23.937
130,23.875,23.937
132,23.937,23.875
134,24.0,23.937
136,24.0,23.875
138,24.0,23.937
140,24.0,23.937
142,24.0,23.937
144,24.0,23.937
146,24.0,23.937
148,24.0,23.937
150,24.0,23.937
152,24.0,23.937
154,24.062,23.937
156,24.062,23.937
158,24.062,23.937
160,24.0,23.937
162,24.062,23.937
164,24.0,23.937
166,24.062,23.937
168,24.062,23.937
170,24.062,23.937
172,24.062,23.875
174,24.062,23.937
176,24.062,23.937
178,24.062,23.937
180,24.062,23.937
182,24.062,23.937
184,24.062,23.937
186,24.062,23.937
188,24.062,23.937
190,24.062,23.937
192,24.062,23.937
194,24.062,23.937
196,24.062,23.937
198,24.062,23.937
200,24.062,23.937
202,24.062,24.0
204,24.062,23.937
206,24.062,23.937
208,24.062,24.0
210,24.125,24.0
212,24.062,23.937
214,24.125,24.0
216,24.125,24.0
218,24.062,23.937
220,24.125,23.937
222,24.125,23.937
224,24.125,24.0
226,24.125,23.937
228,24.125,23.937
230,24.125,24.0
232,24.125,23.937
234,24.125,24.0
236,24.125,23.937
238,24.125,24.0
240,24.125,24.0
242,24.125,23.937
244,24.125,24.0
246,24.125,24.0
248,24.125,24.0
250,24.125,24.0
252,24.125,24.0
254,24.125,24.0
256,24.125,24.0
258,24.187,24.0
260,24.187,24.0
262,24.187,24.0
264,24.187,24.0
266,24.187,24.0
268,24.187,24.0
270,24.187,24.0
272,24.187,24.0
274,24.25,24.0
276,24.187,24.0
278,24.187,24.0
280,24.187,24.0
282,24.187,24.0
284,24.187,24.0
286,24.187,24.0
288,24.187,24.0
290,24.187,24.0
292,24.25,24.0
294,24.25,24.0
296,24.187,24.0
298,24.25,24.0
300,24.187,24.0
302,24.187,24.0
304,24.25,24.0
306,24.25,24.062
308,24.25,24.0
310,24.25,24.062
312,24.25,24.062
314,24.25,24.0
316,24.25,24.062
318,24.25,24.062
320,24.25,24.062
322,24.25,24.062
324,24.25,24.062
326,24.187,24.062
328,24.25,24.062
330,24.25,24.062
332,24.25,24.062
334,24.25,24.062
336,24.312,24.0
338,24.312,24.062
340,24.312,24.062
342,24.312,24.062
344,24.312,24.062
346,24.312,24.062
348,24.312,24.062
350,24.312,24.062
352,24.312,24.062
354,24.312,24.125
356,24.312,24.062
358,24.312,24.062
360,24.312,24.125
362,24.312,24.062
364,24.312,24.125
366,24.312,24.125
368,24.312,24.125
370,24.312,24.125
372,24.312,24.125
374,24.375,24.125
376,24.312,24.125
378,24.312,24.125
380,24.312,24.125
382,24.312,24.125
384,24.312,24.125
386,24.375,24.125
388,24.375,24.125
390,24.312,24.125
392,24.312,24.125
394,24.312,24.125
396,24.312,24.125
398,24.312,24.125
400,24.312,24.125
402,24.312,24.125
404,24.375,24.125
406,24.375,24.187
408,24.375,24.187
410,24.375,24.187
412,24.375,24.125
414,24.375,24.187
416,24.437,24.125
418,24.375,24.125
420,24.375,24.125
422,24.437,24.187
424,24.437,24.187
426,24.437,24.187
428,24.437,24.187
430,24.375,24.125
432,24.437,24.187
434,24.437,24.187
436,24.437,24.187
438,24.437,24.187
440,24.437,24.187
442,24.437,24.187
444,24.437,24.187
446,24.437,24.187
448,24.437,24.25
450,24.437,24.25
452,24.437,24.187
454,24.437,24.25
456,24.437,24.25
458,24.437,24.25
460,24.437,24.187
462,24.437,24.25
464,24.437,24.25
466,24.5,24.25
468,24.437,24.25
470,24.5,24.25
472,24.5,24.25
474,24.5,24.25
476,24.5,24.25
478,24.5,24.25
480,24.5,24.25
482,24.5,24.25
484,24.5,24.25
486,24.5,24.25
488,24.5,24.25
490,24.5,24.25
492,24.5,24.25
494,24.5,24.312
496,24.5,24.312
498,24.562,24.25
500,24.5,24.312
502,24.5,24.312
504,24.562,24.312
506,24.562,24.312
508,24.5,24.312
510,24.562,24.312
512,24.562,24.312
514,24.562,24.312
516,24.562,24.312
518,24.562,24.312
520,24.562,24.312
522,24.562,24.312
524,24.562,24.312
526,24.562,24.375
528,24.562,24.375
530,24.562,24.312
