Time,PM2.5,PM10
12:02:44,0.7,3.8
12:02:54,0.7,3.8
12:03:12,0.6,3.2
12:03:14,0.6,3.1
12:03:16,0.6,3.1
12:03:18,0.6,2.8
12:03:20,0.6,2.8
12:03:22,0.6,2.8
12:03:24,0.6,2.7
12:03:26,0.6,2.7
12:03:28,0.6,2.6
12:03:30,0.6,2.7
12:03:32,0.6,2.4
12:03:34,0.6,2.7
12:03:36,0.6,2.6
12:03:38,0.6,2.6
12:03:40,0.6,2.5
12:03:42,0.6,2.6
12:03:44,0.7,2.8
